CVE_id,CVSS,From,Upto,cpe,cwe,description,patch
CVE-2016-6307,5.9 MEDIUM,,,[['1.1.0']],CWE-400,"The state-machine implementation in OpenSSL 1.1.0 before 1.1.0a allocates memory before checking for an excessive length, which might allow remote attackers to cause a denial of service (memory consumption) via crafted TLS messages, related to statem/statem.c and statem/statem_lib.c.",
CVE-2016-6308,5.9 MEDIUM,,,[['1.1.0']],CWE-399,"statem/statem_dtls.c in the DTLS implementation in OpenSSL 1.1.0 before 1.1.0a allocates memory before checking for an excessive length, which might allow remote attackers to cause a denial of service (memory consumption) via crafted DTLS messages.",
CVE-2016-6309,9.8 CRITICAL,,,[['1.1.0a']],CWE-416,"statem/statem.c in OpenSSL 1.1.0a does not consider memory-block movement after a realloc call, which allows remote attackers to cause a denial of service (use-after-free) or possibly execute arbitrary code via a crafted TLS session.",
CVE-2016-7052,7.5 HIGH,,,[['1.0.2i']],CWE-476,crypto/x509/x509_vfy.c in OpenSSL 1.0.2i allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) by triggering a CRL operation.,
CVE-2016-7053,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b']]",CWE-476,"In OpenSSL 1.1.0 before 1.1.0c, applications parsing invalid CMS structures can crash with a NULL pointer dereference. This is caused by a bug in the handling of the ASN.1 CHOICE type in OpenSSL 1.1.0 which can result in a NULL value being passed to the structure callback if an attempt is made to free certain invalid encodings. Only CHOICE structures using a callback which do not handle NULL value are affected.",
CVE-2016-7054,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b']]",CWE-284,"In OpenSSL 1.1.0 before 1.1.0c, TLS connections using *-CHACHA20-POLY1305 ciphersuites are susceptible to a DoS attack by corrupting larger payloads. This can result in an OpenSSL crash. This issue is not considered to be exploitable beyond a DoS.",https://www.openssl.org/news/secadv/20161110.txt
CVE-2017-3730,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c']]",CWE-476,"In OpenSSL 1.1.0 before 1.1.0d, if a malicious server supplies bad parameters for a DHE or ECDHE key exchange then this can result in the client attempting to dereference a NULL pointer leading to a client crash. This could be exploited in a Denial of Service attack.","http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html,https://github.com/openssl/openssl/commit/efbe126e3ebb9123ac9d058aa2bb044261342aaa,https://www.openssl.org/news/secadv/20170126.txt,https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html"
CVE-2017-3731,7.5 HIGH,,,"[['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j']]",CWE-125,"If an SSL/TLS server or client is running on a 32-bit host, and a specific cipher is being used, then a truncated packet can cause that server or client to perform an out-of-bounds read, usually resulting in a crash. For OpenSSL 1.1.0, the crash can be triggered when using CHACHA20/POLY1305; users should upgrade to 1.1.0d. For Openssl 1.0.2, the crash can be triggered when using RC4-MD5; users who have not disabled that algorithm should update to 1.0.2k.",
CVE-2017-3732,5.9 MEDIUM,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h'], ['1.0.2i'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c']]",CWE-200,There is a carry propagating bug in the x86_64 Montgomery squaring procedure in OpenSSL 1.0.2 before 1.0.2k and 1.1.0 before 1.1.0d. No EC algorithms are affected. Analysis suggests that attacks against RSA and DSA as a result of this defect would be very difficult to perform and are not believed likely. Attacks against DH are considered just feasible (although very difficult) because most of the work necessary to deduce information about a private key may be performed offline. The amount of resources required for such an attack would be very significant and likely only accessible to a limited number of attackers. An attacker would additionally need online access to an unpatched system using the target private key in a scenario with persistent DH parameters and a private key that is shared between multiple clients. For example this can occur by default in OpenSSL DHE based SSL/TLS ciphersuites. Note: This issue is very similar to CVE-2015-3193 but must be treated as a separate problem.,
CVE-2017-3733,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d']]",CWE-20,During a renegotiation handshake if the Encrypt-Then-Mac extension is negotiated where it was not in the original handshake (or vice-versa) then this can cause OpenSSL 1.1.0 before 1.1.0e to crash (dependent on ciphersuite). Both clients and servers are affected.,
