cve_id,,version,,commit
CVE-2020-14212,,4.4,,0b3bd001ac1745d9d008a2d195817df57d7d1d14
CVE-2020-13904,,4.4,,9dfb19baeb86a8bb02c53a441682c6e9a6e104cc
CVE-2020-13904,,4.4,,b5e39880fb7269b1b3577cee288e06aa3dc1dfa2
CVE-2020-35965,,4.4,,b0a8b40294ea212c1938348ff112ef1b9bf16bb3
CVE-2020-35965,,4.4,,3e5959b3457f7f1856d997261e6ac672bba49e8b
CVE-2020-13904,,4.3.1,,"a3fdeb0c3a4ecabab2c2351b86fc92004526e9cc,b5e39880fb7269b1b3577cee288e06aa3dc1dfa2"
CVE-2020-14212,,4.3.1,,"dd273d359e45ab69398ac0dc41206d5f1a9371bf,0b3bd001ac1745d9d008a2d195817df57d7d1d14"
CVE-2019-13312,,4.3,,def04022f4a7058f99e669bfd978d431d79aec18
CVE-2019-13390,,4.3,,aef24efb0c1e65097ab77a4bf9264189bdf3ace3
CVE-2019-15942,,4.3,,af70bfbeadc0c9b9215cf045ff2a6a31e8ac3a71
CVE-2019-17542,,4.3,,02f909dc24b1f05cfbba75077c7707b905e63cd2
CVE-2020-12284,,4.3,,1812352d767ccf5431aa440123e2e260a4db2726
CVE-2020-13904,,4.2.4,,"57970c41f59319f54879993fc26c55147854c52f,b5e39880fb7269b1b3577cee288e06aa3dc1dfa2"
CVE-2020-13904,,4.2.4,,"c00e881a450fc465e60f41bd47ea6396a87f3eef,9dfb19baeb86a8bb02c53a441682c6e9a6e104cc"
CVE-2019-13312,,4.2.3,,"eae4b6142223d6f214b97c00bc498884f3b98065,def04022f4a7058f99e669bfd978d431d79aec18"
CVE-2020-12284,,4.2.3,,"838105153a579ff0cea0794afc0275c19c51d3a7,1812352d767ccf5431aa440123e2e260a4db2726"
CVE-2019-13390,,4.2.1,,"1dec90d45656d9d142deb1f3134bc1a0b3fa5522,aef24efb0c1e65097ab77a4bf9264189bdf3ace3"
CVE-2019-15942,,4.2.1,,"c1dc4d2d501cd926ce698df86a8cf1d0b77606eb,af70bfbeadc0c9b9215cf045ff2a6a31e8ac3a71"
CVE-2019-9718,,4.2,,1f00c97bc3475c477f3c468cf2d924d5761d0982
CVE-2019-9721,,4.2,,894995c41e0795c7a44f81adc4838dedc3932e65
CVE-2019-11338,,4.2,,54655623a82632e7624714d7b2a3e039dc5faa7e
CVE-2019-11339,,4.2,,1f686d023b95219db933394a7704ad9aa5f01cbb
CVE-2019-11339,,4.2,,d227ed5d598340e719eff7156b1aa0a4469e9a6a
CVE-2019-12730,,4.2,,ed188f6dcdf0935c939ed813cf8745d50742014b
CVE-2019-17539,,4.2,,8df6884832ec413cf032dfaa45c23b1c7876670c
CVE-2019-17542,,4.2,,"06688a8cc51ad302da80987b43a78debaf65e642,02f909dc24b1f05cfbba75077c7707b905e63cd2"
CVE-2019-1000016,,4.2,,b97a4b658814b2de8b9f2a3bce491c002d34de31
CVE-2020-12284,,4.1.6,,"a3a3730b5456ca00587455004d40c047f7b20a99,1812352d767ccf5431aa440123e2e260a4db2726"
CVE-2020-13904,,4.1.6,,"7dc5dfad31d1bc6cec5f4eb1f9033ce3b715425d,b5e39880fb7269b1b3577cee288e06aa3dc1dfa2"
CVE-2020-13904,,4.1.6,,"c229e5e80f1b67b2120f317e815fec29ca1390a5,9dfb19baeb86a8bb02c53a441682c6e9a6e104cc"
CVE-2019-13390,,4.1.5,,"60094fc2f552aace794395648110408a6eb825ad,aef24efb0c1e65097ab77a4bf9264189bdf3ace3"
CVE-2019-17539,,4.1.5,,"f2c01cc90b36e0efa60cc335bc910746d53e46ce,8df6884832ec413cf032dfaa45c23b1c7876670c"
CVE-2019-17542,,4.1.5,,"731b4f7414b7ee5e2b90b55d6721c2df0dc4f160,02f909dc24b1f05cfbba75077c7707b905e63cd2"
CVE-2019-12730,,4.1.4,,"9b4004c054964a49c7ba44583f4cee22486dd8f2,ed188f6dcdf0935c939ed813cf8745d50742014b"
CVE-2019-11338,,4.1.3,,"f1ecebcdb72b5928b585ec8f07c3847927b4bf1d,54655623a82632e7624714d7b2a3e039dc5faa7e"
CVE-2019-9718,,4.1.2,,"cc5361ed18ab0f69cfbead7afc88fb81ed4b36ae,1f00c97bc3475c477f3c468cf2d924d5761d0982"
CVE-2019-9721,,4.1.2,,"f7f3937494f6734d27fc3d0081c9c7a9a19614a8,894995c41e0795c7a44f81adc4838dedc3932e65"
CVE-2019-11339,,4.1.2,,"1e50a327c649c8a00741996b9f6db83fdc00285a,d227ed5d598340e719eff7156b1aa0a4469e9a6a"
CVE-2019-11339,,4.1.2,,"8066cb3556e77570b72b28ccef9613ea0887d5ac,1f686d023b95219db933394a7704ad9aa5f01cbb"
CVE-2019-1000016,,4.1.1,,"b420f23566825192c3fc1f46fce24d19ffc1d72e,b97a4b658814b2de8b9f2a3bce491c002d34de31"
CVE-2018-12458,,4.1,,e1182fac1afba92a4975917823a5f644bee7e6e8
CVE-2018-12459,,4.1,,2fc108f60f98cd00813418a8754a46476b404a3c
CVE-2018-12460,,4.1,,b3332a182f8ba33a34542e4a0370f38b914ccf7d
CVE-2018-13300,,4.1,,95556e27e2c1d56d9e18f5db34d6f756f3011148
CVE-2018-13301,,4.1,,2aa9047486dbff12d9e040f917e5f799ed2fd78b
CVE-2018-13302,,4.1,,ed22dc22216f74c75ee7901f82649e1ff725ba50
CVE-2018-13303,,4.1,,00e8181bd97c834fe60751b0c511d4bb97875f78
CVE-2018-13304,,4.1,,bd27a9364ca274ca97f1df6d984e88a0700fb235
CVE-2018-13305,,4.1,,d08d4a8c7387e758d439b0592782e4cfa2b4d6a4
CVE-2018-14394,,4.1,,3a2d21bc5f97aa0161db3ae731fc2732be6108b8
CVE-2018-14395,,4.1,,fa19fbcf712a6a6cc5a5cfdc3254a97b9bce6582
CVE-2018-15822,,4.1,,6b67d7f05918f7a1ee8fc6ff21355d7e8736aa10
CVE-2018-1999010,,4.1,,cced03dd667a5df6df8fd40d8de0bff477ee02e8
CVE-2018-1999011,,4.1,,2b46ebdbff1d8dec7a3d8ea280a612b91a582869
CVE-2018-1999012,,4.1,,9807d3976be0e92e4ece3b4b1701be894cd7c2e1
CVE-2018-1999013,,4.1,,a7e032a277452366771951e29fd0bf2bd5c029f0
CVE-2018-1999014,,4.1,,bab0716c7f4793ec42e05a5aa7e80d82a0dd4e75
CVE-2018-1999015,,4.1,,5aba5b89d0b1d73164d3b81764828bb8b20ff32a
CVE-2020-13904,,4.0.6,,2a5219d359933b4d6a4ccf13e241253543fc390e 9dfb19baeb86a8bb02c53a441682c6e9a6e104cc
CVE-2020-13904,,4.0.6,,d7abedc90443d6bbd7e956fd53d91b343cba50a8 b5e39880fb7269b1b3577cee288e06aa3dc1dfa2
CVE-2019-12730,,4.0.5,,"3935e8d967d6066a6f6667acf2a48f1337699039,ed188f6dcdf0935c939ed813cf8745d50742014b"
CVE-2019-13390,,4.0.5,,"4a79f30d774dd81bde2da751fbd588e3413da2d7,aef24efb0c1e65097ab77a4bf9264189bdf3ace3"
CVE-2019-17539,,4.0.5,,"7200fd51211f509c390e24398635920a460406ca,8df6884832ec413cf032dfaa45c23b1c7876670c"
CVE-2019-17542,,4.0.5,,"ce2caf5674c3adbab01635ed4535cbc208930a8e,02f909dc24b1f05cfbba75077c7707b905e63cd2"
CVE-2019-9718,,4.0.4,,"381fa4a29d38e4ddef2a83876fb8f76e96f45a5d,1f00c97bc3475c477f3c468cf2d924d5761d0982"
CVE-2019-9721,,4.0.4,,"7dc5c930354c4339ce36a6cc4f2113c9cfd294f5,894995c41e0795c7a44f81adc4838dedc3932e65"
CVE-2019-11339,,4.0.4,,"8183623ca38cbeb5bceddc874f218fec66bd802b,1f686d023b95219db933394a7704ad9aa5f01cbb"
CVE-2019-11339,,4.0.4,,"aadce82c585181168f3b7cdf260c3d461d4baa1b,d227ed5d598340e719eff7156b1aa0a4469e9a6a"
CVE-2018-15822,,4.0.3,,"386975d7a4aa4f41451f5895a689aedbf83c4ecd,6b67d7f05918f7a1ee8fc6ff21355d7e8736aa10"
CVE-2018-13300,,4.0.2,,"76105382244e79d072e7b993c7caf584151b0694,95556e27e2c1d56d9e18f5db34d6f756f3011148"
CVE-2018-13301,,4.0.2,,"679d749eaba9e5a8b8a9ea22500ab559f5be8940,2aa9047486dbff12d9e040f917e5f799ed2fd78b"
CVE-2018-13302,,4.0.2,,"20c5fb972101fa25dedaf35a9c0ce2bf02fa6b52,ed22dc22216f74c75ee7901f82649e1ff725ba50"
CVE-2018-13303,,4.0.2,,"0003ace83b18f68c981c8ad401bee75315edf9f5,00e8181bd97c834fe60751b0c511d4bb97875f78"
CVE-2018-13304,,4.0.2,,"5fd1dce39a70340b9fd508154e48985902602e25,bd27a9364ca274ca97f1df6d984e88a0700fb235"
CVE-2018-14394,,4.0.2,,"0981dfee7d413ec6f30f00ddb109e3959c05bebd,3a2d21bc5f97aa0161db3ae731fc2732be6108b8"
CVE-2018-14395,,4.0.2,,"fd53179f4a71e0acd807bdfff112a55e204fa4ba,fa19fbcf712a6a6cc5a5cfdc3254a97b9bce6582"
CVE-2018-1999010,,4.0.2,,"6d992a51c75aafba6e21bff95cddae9d717bc7e3,cced03dd667a5df6df8fd40d8de0bff477ee02e8"
CVE-2018-1999011,,4.0.2,,"a21703ca5d42e91b3a218e755020e90ef3af2eae,2b46ebdbff1d8dec7a3d8ea280a612b91a582869"
CVE-2018-1999012,,4.0.2,,"6f4b82cc3a879f5d3f9a4738bfd7d93757221958,9807d3976be0e92e4ece3b4b1701be894cd7c2e1"
CVE-2018-1999013,,4.0.2,,"37f505cc853f592d93b6285c8a91eece2e5b8b07,a7e032a277452366771951e29fd0bf2bd5c029f0"
CVE-2018-1999014,,4.0.2,,"a28ab09e2a2ac3fcc61e77ff5d702d9157eb37bc,bab0716c7f4793ec42e05a5aa7e80d82a0dd4e75"
CVE-2018-1999015,,4.0.2,,"4439d6aa6956453f6f5479020ee71baebbec4287,5aba5b89d0b1d73164d3b81764828bb8b20ff32a"
CVE-2018-12458,,4.0.1,,"b3d740263c08370c9e701ac372dff5cdc0ebd39d,e1182fac1afba92a4975917823a5f644bee7e6e8"
CVE-2018-12459,,4.0.1,,"897524954be2eba39af71fbb9210236b337270a6,2fc108f60f98cd00813418a8754a46476b404a3c"
CVE-2018-12460,,4.0.1,,"e26be20a272734ae0b3f83e10731104dafa7ee4d,b3332a182f8ba33a34542e4a0370f38b914ccf7d"
CVE-2018-6912,,4,,76cc0f0f673353cd4746cd3b83838ae335e5d9ed
CVE-2018-7751,,4,,a6cba062051f345e8ebfdff34aba071ed73d923f
CVE-2018-7557,,4,,7414d0bda7763f9bd69c26c068e482ab297c1c96
CVE-2018-9841,,4,,35eeff30caf34df835206f1c12bcf4b7c2bd6758
CVE-2018-10001,,4,,47b7c68ae54560e2308bdb6be4fb076c73b93081
