filename,func_name,new_version,old_version,oss_fuzz,vul_id,,detail
 tif_jpeg.c,,: v4.0.2,v4.0.1,,CVE-2012-1173,," tif_jpeg.c:  Fix size overflow (zdi-can-1221,CVE-2012-1173).

"
,,: v4.0.2,v4.0.1,,CVE-2012-2113,," tiff2pdf:  Defend against integer overflows while
	calculating required buffer sizes (CVE-2012-2113).

"
,,: v4.0.3,v4.0.2,,CVE-2012-3386,," Updated to use Automake 1.12.4.  Avoids security problem with
  'make distcheck' (CVE-2012-3386).

"
,TIFFSetDirectory(),: v4.0.3,v4.0.2,,CVE-2012-3401,," tiff2pdf: Fail when TIFFSetDirectory() fails.  This prevents
  core dumps or perhaps even arbitrary code execution when processing
  a corrupt input file (CVE-2012-3401).

  "
,,: v4.0.4,v4.0.4beta,,CVE-2014-8128,,"Check memory allocations for failure.  Also check
        multiplication overflow. (Fixes #2501, CVE-2014-8128)
    "
 libtiff/tif_dirread.c,TIFFFetchNormalTag(),: v4.0.7,v4.0.6,id=2593,"CVE-2016-9297,CVE-2016-9448",," libtiff/tif_dirread.c: in TIFFFetchNormalTag(), do not
        dereference NULL pointer when values of tags with
        TIFF_SETGET_C16_ASCII / TIFF_SETGET_C32_ASCII access are
        0-byte arrays.  Fixes
        http://bugzilla.maptools.org/show_bug.cgi?id=2593 (regression
        introduced by previous fix done on 2016-11-11 for
        CVE-2016-9297).  Reported by Henri Salo. Assigned as
        CVE-2016-9448

    "
 libtiff/tif_strip.c,"TIFFNumberOfStrips(),TIFFNumberOfStrips()",: v4.0.7,v4.0.6,id=2587,CVE-2016-9273,," libtiff/tif_strip.c: make TIFFNumberOfStrips() return the
        td->td_nstrips value when it is non-zero, instead of
        recomputing it. This is needed in TIFF_STRIPCHOP mode where
        td_nstrips is modified. Fixes a read outsize of array in
        tiffsplit (or other utilities using TIFFNumberOfStrips()).
        Fixes http://bugzilla.maptools.org/show_bug.cgi?id=2587
        (CVE-2016-9273)

    "
 libtiff/tif_dir.c,,: v4.0.7,v4.0.6,id=25,"CVE-2014-8127,CVE-2016-3658",," libtiff/tif_dir.c: discard values of SMinSampleValue and
        SMaxSampleValue when they have been read and the value of
        SamplesPerPixel is changed afterwards (like when reading a
        OJPEG compressed image with a missing SamplesPerPixel tag, and
        whose photometric is RGB or YCbCr, forcing SamplesPerPixel
        being 3). Otherwise when rewriting the directory (for example
        with tiffset, we will expect 3 values whereas the array had
        been allocated with just one), thus causing a out of bound
        read access.  Fixes
        http://bugzilla.maptools.org/show_bug.cgi?id=2500
        (CVE-2014-8127, duplicate: CVE-2016-3658)

    "
 libtiff/tif_dirwrite.c,,: v4.0.7,v4.0.6,id=25,"CVE-2014-8127,CVE-2016-3658",," libtiff/tif_dirwrite.c: avoid null pointer dereference on
        td_stripoffset when writing directory, if FIELD_STRIPOFFSETS
        was artificially set for a hack case in OJPEG case.  Fixes
        http://bugzilla.maptools.org/show_bug.cgi?id=2500
        (CVE-2014-8127, duplicate: CVE-2016-3658)

    "
 libtiff/tif_predict.c,,: v4.0.7,v4.0.6,,CVE-2016-3622,," libtiff/tif_predict.c (PredictorSetup): Enforce
        bits-per-sample requirements of floating point predictor (3).
        Fixes CVE-2016-3622 ""Divide By Zero in the tiff2rgba tool.""

    "
